"student_id","minutes_watched","paid_in_q2"
"48510","0.17","0"
"48515","1.53","0"
"48680","0.27","0"
"49122","0.13","0"
"49141","3.33","0"
"49262","0.63","0"
"49639","4.97","0"
"50116","67.67","0"
"50317","0.83","0"
"50833","6.17","0"
"50836","128.03","0"
"50954","10.80","0"
"51686","0.23","0"
"51695","0.30","0"
"51947","0.10","0"
"52002","14.03","0"
"52227","11.57","0"
"52523","170.03","0"
"52524","0.90","0"
"52873","0.43","0"
"52892","0.80","0"
"53325","1.67","0"
"53418","123.80","0"
"53505","0.67","0"
"53770","4.03","0"
"53809","2.63","0"
"53862","105.70","0"
"54036","1.23","0"
"54643","0.10","0"
"54665","0.10","0"
"54875","0.10","0"
"55030","3.90","0"
"55342","0.20","0"
"55958","0.77","0"
"56047","26.50","0"
"56125","0.27","0"
"56168","8.63","0"
"56235","86.53","0"
"56455","4.03","0"
"57060","0.10","0"
"57113","139.37","0"
"57131","11.13","0"
"57499","32.00","0"
"57522","133.80","0"
"58014","12.07","0"
"58447","0.50","0"
"58737","0.13","0"
"58764","61.87","0"
"59019","6.20","0"
"59185","0.20","0"
"59305","1549.10","0"
"59459","7.37","0"
"59695","0.13","0"
"60092","0.13","0"
"60149","1.20","0"
"60248","11.70","0"
"60674","6.23","0"
"60993","0.67","0"
"61094","3.57","0"
"61336","12.03","0"
"61445","1.70","0"
"61522","0.10","0"
"61796","0.40","0"
"61806","1.27","0"
"61845","0.13","0"
"62050","0.13","0"
"62186","97.53","0"
"62255","8.27","0"
"62440","0.70","0"
"62471","0.10","0"
"62525","16.80","0"
"62841","0.10","0"
"62851","1.77","0"
"62992","0.13","0"
"63292","0.40","0"
"63531","47.00","0"
"63538","0.20","0"
"63982","1.33","0"
"64044","0.63","0"
"64065","0.33","0"
"64278","0.40","0"
"65552","15.73","0"
"65857","215.43","0"
"66224","18.20","0"
"66308","0.83","0"
"66318","130.77","0"
"66969","1.93","0"
"67407","0.13","0"
"67417","1.87","0"
"67824","3.70","0"
"68107","3.83","0"
"68727","27.33","0"
"69196","16.10","0"
"69653","2.17","0"
"70359","1.60","0"
"70381","0.83","0"
"70495","0.33","0"
"70982","2.60","0"
"71086","0.17","0"
"71099","5.07","0"
"71284","62.57","0"
"71422","0.77","0"
"71772","59.00","0"
"71841","79.50","0"
"72221","31.83","0"
"72262","0.60","0"
"72348","0.23","0"
"72596","40.27","0"
"72838","0.97","0"
"73204","4.53","0"
"73239","0.10","0"
"73386","0.17","0"
"73462","38.47","0"
"74005","5.87","0"
"74441","0.50","0"
"74504","0.23","0"
"74663","5.93","0"
"74839","0.53","0"
"74934","14.03","0"
"74935","70.20","0"
"74943","0.10","0"
"75252","0.27","0"
"75257","30.00","0"
"76251","0.10","0"
"76408","4.93","0"
"76875","0.10","0"
"76959","0.17","0"
"77001","0.27","0"
"77060","14.10","0"
"77476","73.10","0"
"78210","145.43","0"
"78303","0.97","0"
"78340","0.50","0"
"78541","0.30","0"
"78726","0.33","0"
"79351","0.23","0"
"79529","0.10","0"
"80675","0.33","0"
"81089","0.40","0"
"81399","6.50","0"
"81693","0.20","0"
"81892","16.17","0"
"82608","0.27","0"
"82842","1.37","0"
"83118","3.07","0"
"83182","0.27","0"
"83276","0.33","0"
"83847","0.20","0"
"83956","39.97","0"
"84962","0.33","0"
"86032","0.27","0"
"86428","0.10","0"
"86652","1.43","0"
"86823","69.33","0"
"87066","0.10","0"
"87175","479.10","0"
"88448","107.30","0"
"88542","0.17","0"
"89147","0.10","0"
"89299","46.17","0"
"89656","11.13","0"
"90224","13.77","0"
"90450","0.97","0"
"90983","0.13","0"
"91571","0.57","0"
"91864","0.30","0"
"92582","47.40","0"
"92792","1.23","0"
"92809","5.47","0"
"93071","6.47","0"
"93079","0.43","0"
"93172","0.13","0"
"97140","1.67","0"
"97218","1.10","0"
"97286","1.13","0"
"98640","30.77","0"
"98698","11.50","0"
"98895","0.33","0"
"99032","12.17","0"
"99070","0.13","0"
"99125","8.37","0"
"99611","0.70","0"
"99883","34.20","0"
"101504","86.83","0"
"101722","1.33","0"
"102267","26.57","0"
"102544","0.10","0"
"102748","0.73","0"
"103665","0.53","0"
"103943","13.27","0"
"104453","16.10","0"
"104514","0.50","0"
"105316","0.67","0"
"105389","2.03","0"
"105478","0.33","0"
"105502","14.03","0"
"106257","11.73","0"
"106549","3.53","0"
"107350","0.73","0"
"107454","0.93","0"
"107852","24.20","0"
"108285","0.10","0"
"108299","0.10","0"
"108664","3.87","0"
"108710","37.70","0"
"108852","134.57","0"
"109018","4.30","0"
"109138","0.17","0"
"109301","0.57","0"
"110557","61.13","0"
"111858","0.10","0"
"112792","0.40","0"
"113207","0.50","0"
"113456","33.17","0"
"113759","2.27","0"
"113816","0.17","0"
"113947","0.17","0"
"114023","37.53","0"
"115218","0.97","0"
"116556","1.47","0"
"116980","14.03","0"
"117468","0.17","0"
"117636","0.13","0"
"118399","0.10","0"
"119972","0.17","0"
"121763","0.13","0"
"121843","60.77","0"
"122649","10.73","0"
"123043","0.60","0"
"123873","2.20","0"
"124344","0.80","0"
"124401","26.33","0"
"124444","111.57","0"
"124556","19.00","0"
"124913","0.90","0"
"125478","6.47","0"
"125873","2.57","0"
"126135","0.10","0"
"126978","83.00","0"
"127114","19.97","0"
"134943","21.03","0"
"135127","14.20","0"
"135358","0.43","0"
"135960","1.17","0"
"135990","1.77","0"
"136298","0.40","0"
"136673","1.60","0"
"136737","17.57","0"
"136792","6.37","0"
"136857","15.93","0"
"137457","1.40","0"
"138025","3.70","0"
"138177","20.80","0"
"138384","0.10","0"
"138404","84.20","0"
"138587","1.43","0"
"138957","0.23","0"
"138989","87.17","0"
"139015","39.00","0"
"139154","30.70","0"
"139468","0.33","0"
"139683","149.90","0"
"139699","11.83","0"
"139968","1.40","0"
"140195","44.70","0"
"140465","1.03","0"
"140536","0.27","0"
"140547","105.57","0"
"140676","27.50","0"
"140938","51.10","0"
"141543","0.30","0"
"141567","0.70","0"
"141570","0.47","0"
"142447","4.70","0"
"142605","19.50","0"
"142822","0.23","0"
"142855","4.40","0"
"142907","2.60","0"
"143181","6.50","0"
"143378","8.60","0"
"143411","0.13","0"
"143420","0.30","0"
"143481","2.73","0"
"143488","73.83","0"
"143508","13.37","0"
"143585","0.87","0"
"143621","16.00","0"
"143655","13.27","0"
"143656","10.93","0"
"143658","0.30","0"
"143721","66.80","0"
"143780","0.10","0"
"143890","6.37","0"
"143965","0.10","0"
"143982","60.37","0"
"143984","5.43","0"
"143986","101.83","0"
"144023","33.83","0"
"144030","136.27","0"
"144072","0.13","0"
"144074","307.00","0"
"144174","1142.37","0"
"144196","1.07","0"
"144199","0.77","0"
"144296","0.10","0"
"144321","0.57","0"
"144327","20.77","0"
"144333","3.53","0"
"144355","50.30","0"
"144397","74.47","0"
"144468","0.33","0"
"144472","11.37","0"
"144558","105.87","0"
"144572","17.23","0"
"144578","64.67","0"
"144617","15.50","0"
"144657","13.93","0"
"144692","6.47","0"
"144750","1.67","0"
"144771","9.23","0"
"144781","7.90","0"
"144836","63.17","0"
"144863","0.13","0"
"144925","3.17","0"
"144937","7.53","0"
"144965","2.53","0"
"144988","0.73","0"
"144997","0.67","0"
"144999","3.13","0"
"145002","0.20","0"
"145023","0.37","0"
"145085","41.70","0"
"145086","25.87","0"
"145095","0.13","0"
"145173","41.83","0"
"145184","10.27","0"
"145243","0.10","0"
"145264","65.43","0"
"145286","127.17","0"
"145295","0.10","0"
"145358","88.63","0"
"145376","2.27","0"
"145377","4.73","0"
"145401","0.13","0"
"145414","1.23","0"
"145418","45.27","0"
"145482","14.37","0"
"145496","0.17","0"
"145516","2.97","0"
"145559","318.03","0"
"145561","41.73","0"
"145594","19.70","0"
"145610","6.20","0"
"145625","4.50","0"
"145654","5.17","0"
"145658","2.27","0"
"145665","220.17","0"
"145722","4.73","0"
"145726","12.30","0"
"145727","19.27","0"
