student_id,minutes_watched,paid_in_q2
5578,32.03,1
5579,14.77,1
5589,293.03,1
5591,12.7,1
5598,56.27,1
5601,491.6,1
5612,346.1,1
5632,224.97,1
5633,4237.53,1
5638,38.53,1
5644,0.13,1
5649,417.33,1
5663,55.2,1
5671,58.4,1
5676,13.23,1
5686,273.93,1
5687,96.6,1
5704,1.1,1
5707,234.93,1
5716,9.07,1
5717,654.67,1
5720,5245.9,1
5734,631.27,1
5739,300.37,1
5744,238.93,1
5774,44.2,1
5782,595.7,1
5791,0.83,1
5836,2519.17,1
5884,130.07,1
5939,35.47,1
5955,222.07,1
5971,107.87,1
5974,2035.27,1
5996,123.87,1
6011,328.7,1
6027,48.3,1
6030,770.7,1
6034,0.17,1
6043,327.07,1
6070,315.37,1
6096,777.83,1
6110,1118.2,1
6125,2328.77,1
6129,388.2,1
6165,197.5,1
6218,29.47,1
6227,471.23,1
6239,96.97,1
6252,819.63,1
6253,567.9,1
6261,0.37,1
6278,1949.73,1
6312,979.07,1
6313,970.7,1
6330,843.77,1
6331,110.7,1
6363,124.0,1
6367,314.13,1
6379,422.83,1
6394,665.13,1
6395,696.43,1
6408,200.23,1
6409,339.47,1
6410,157.6,1
6418,84.9,1
6421,1321.27,1
6433,508.37,1
6451,24.4,1
6464,407.77,1
6488,2937.23,1
6503,16.47,1
6505,161.63,1
6530,1209.27,1
6542,257.37,1
6548,4144.93,1
6559,320.83,1
6560,40.7,1
6569,8.7,1
6580,53.43,1
6589,887.53,1
6599,67.33,1
6616,3025.53,1
6627,49.7,1
6643,1083.97,1
6659,378.27,1
6665,48.7,1
6667,22.87,1
6681,16.9,1
6685,1047.27,1
6698,70.27,1
6739,5018.8,1
6743,47.93,1
6745,173.6,1
6757,142.0,1
6762,989.73,1
6773,36.07,1
6791,522.27,1
6814,54.87,1
6817,27.0,1
6819,1207.6,1
6824,615.0,1
6836,67.07,1
6867,18.17,1
6869,79.5,1
6871,28.47,1
6884,3018.13,1
6885,1954.23,1
6888,117.3,1
6890,581.63,1
6921,4692.8,1
6924,536.1,1
6932,410.4,1
6939,0.87,1
6940,71.8,1
6944,30.87,1
6950,205.77,1
6958,769.63,1
6965,151.73,1
6976,5622.67,1
6982,110.9,1
6997,328.97,1
7008,0.43,1
7013,231.53,1
